factor,horizon,ic,ic_mean,ic_ir,n_samples,quality,p_value,significant_bonf,significant_005,wf_consistency,wf_all_same_sign,decay_status,ic_first_half,ic_second_half,logic
is_london_ny_overlap,8,0.2521,0.2531,3.2007,66218,EXCELLENT,0.002,False,True,1.0,True,stable,0.2522,0.2519,伦敦/纽约重叠时段（最高流动性）
is_london_ny_overlap,1,0.2442,0.2436,4.381,66218,EXCELLENT,0.484,False,False,1.0,True,stable,0.2442,0.2442,伦敦/纽约重叠时段（最高流动性）
is_london_ny_overlap,4,0.2348,0.2338,2.9153,66218,EXCELLENT,1.0,False,False,1.0,True,stable,0.2304,0.2386,伦敦/纽约重叠时段（最高流动性）
ATR,8,0.0362,0.0105,0.059,66218,FAIR,0.0,True,True,0.6,False,strengthening,0.0234,0.036,绝对波动率
EMA9,8,0.0355,-0.2794,-1.8006,66218,FAIR,0.0,True,True,0.6,False,strengthening,0.0157,0.0421,短期均线（用距离）
EMA21,8,0.0355,-0.2659,-1.672,66218,FAIR,0.0,True,True,0.6,False,strengthening,0.016,0.0422,中期均线（用距离）
day_of_week,8,0.0338,0.0394,0.2232,66218,FAIR,0.0,True,True,1.0,True,stable,0.0436,0.0249,星期效应
day_of_week,4,0.0327,0.0381,0.3064,66218,FAIR,0.0,True,True,1.0,True,stable,0.0399,0.0261,星期效应
ATR,4,0.032,0.0067,0.0514,66218,FAIR,0.0,True,True,0.6,False,strengthening,0.0194,0.0344,绝对波动率
RSI2,1,-0.0314,-0.0462,-0.7277,66218,FAIR,0.0,True,True,1.0,True,stable,-0.0394,-0.0252,超短期超买超卖，均值回归
EMA21,4,0.0286,-0.1958,-1.7026,66218,WEAK,0.0,True,True,0.6,False,strengthening,0.0146,0.0345,中期均线（用距离）
EMA9,4,0.0285,-0.2082,-1.8539,66218,WEAK,0.0,True,True,0.6,False,strengthening,0.0143,0.0342,短期均线（用距离）
hour_sin,8,-0.0271,-0.0312,-0.1755,66218,WEAK,0.0,True,True,0.6,False,stable,-0.0264,-0.0276,交易时段周期（正弦编码）
day_of_week,1,0.025,0.0285,0.4586,66218,WEAK,0.06,False,False,1.0,True,stable,0.0291,0.0213,星期效应
MACD_hist_change,1,-0.0246,-0.0284,-0.4158,66218,WEAK,0.0,True,True,1.0,True,stable,-0.0296,-0.0217,MACD柱状图变化速度
lower_shadow_ratio,1,-0.0221,-0.024,-0.3528,66218,WEAK,0.0,True,True,0.6,False,decaying,-0.0383,-0.0068,下影线占比→买盘支撑
ATR,1,0.0221,0.0023,0.0351,66218,WEAK,0.0,True,True,0.6,False,stable,0.0113,0.0257,绝对波动率
ROC_5,1,-0.0206,-0.0364,-0.5528,66218,WEAK,0.0,True,True,1.0,True,stable,-0.0288,-0.014,5期变化率
momentum_5,1,-0.0206,-0.0364,-0.5528,66218,WEAK,0.0,True,True,1.0,True,stable,-0.0288,-0.014,5期动量效应
EMA21,1,0.0188,-0.0965,-1.6232,66218,WEAK,0.0,True,True,0.6,False,stable,0.0094,0.0244,中期均线（用距离）
EMA9,1,0.0187,-0.1048,-1.7891,66218,WEAK,0.0,True,True,0.6,False,stable,0.0091,0.0242,短期均线（用距离）
momentum_10,1,-0.0185,-0.0428,-0.6766,66218,WEAK,0.0,True,True,1.0,True,stable,-0.027,-0.0118,10期动量效应
